"","cntry","gndr","crmvct","brncntr","Universalism","Security","marital1","ageadlt1","ageoage1","agea1","agemage1","eduyrs1"
"8457","Germany","Female","No","Yes",4,3.5,"Legally married",16,70,51,40,14
"8459","Germany","Female","No","Yes",3,4,"Legally married",18,65,55,35,14
"8460","Germany","Female","No","Yes",3,4,"Legally married",18,60,64,40,12
"8461","Germany","Male","Yes","Yes",4,4.5,"Legally married",20,60,45,40,17
"8462","Germany","Female","No","Yes",2.66666666666667,3.5,"Divorced",18,65,71,35,5
"8463","Germany","Female","No","Yes",4.66666666666667,3,"NEVER married",20,65,24,45,16
"8464","Germany","Male","No","Yes",4.33333333333333,4,"Legally married",18,70,40,40,15
"8465","Germany","Male","No","Yes",4,4.5,"NEVER married",18,55,42,35,14
"8467","Germany","Male","No","Yes",3.33333333333333,2.5,"Legally married",22,65,56,40,15
"8469","Germany","Female","No","Yes",3,3.5,"Widowed",18,75,77,40,11
"8470","Germany","Male","No","Yes",3,2.5,"Legally married",18,60,31,40,16
"8472","Germany","Female","No","Yes",4.33333333333333,4,"Legally married",18,60,54,35,14
"8473","Germany","Male","No","Yes",3.33333333333333,3,"Legally married",18,69,70,35,14
"8474","Germany","Male","No","Yes",3.66666666666667,3,"Legally married",18,65,38,45,13
"8475","Germany","Female","No","Yes",3.33333333333333,3,"Widowed",18,70,85,40,8
"8476","Germany","Male","No","Yes",3,2,"Divorced",22,65,52,40,12
"8477","Germany","Male","No","Yes",4.33333333333333,4,"Legally married",20,70,68,40,14
"8479","Germany","Male","No","Yes",5,5,"NEVER married",20,55,69,35,14
"8480","Germany","Male","No","Yes",4,4,"Legally married",18,70,65,35,9
"8481","Germany","Male","No","Yes",4.33333333333333,5,"Legally married",20,65,41,45,12
"8482","Germany","Male","No","No",4,4,"Divorced",20,60,47,45,13
"8483","Germany","Female","No","No",4,4,"Divorced",27,60,31,40,10
"8484","Germany","Male","No","Yes",3.66666666666667,0.5,"Legally married",30,70,67,45,13
"8485","Germany","Female","No","Yes",3.66666666666667,4,"Divorced",20,65,44,40,17
"8486","Germany","Female","No","No",4.66666666666667,4.5,"NEVER married",22,75,22,50,15
"8487","Germany","Male","No","Yes",4,4,"NEVER married",20,65,27,45,17
"8488","Germany","Female","No","No",4,4,"Legally married",18,65,30,45,12
"8489","Germany","Male","No","Yes",4.33333333333333,4.5,"Legally married",20,90,49,35,14
"8490","Germany","Female","Yes","Yes",3.33333333333333,3.5,"Legally married",25,75,70,45,13
"8491","Germany","Male","No","Yes",4,4,"NEVER married",20,60,32,40,18
"8492","Germany","Female","No","Yes",4,2.5,"Legally married",25,65,69,55,15
"8493","Germany","Female","No","Yes",4.33333333333333,2.5,"Legally married",25,80,68,50,12
"8495","Germany","Female","No","Yes",3.33333333333333,4,"Legally married",21,70,60,45,11
"8496","Germany","Male","No","Yes",4.33333333333333,5,"Legally married",20,70,43,45,16
"8497","Germany","Male","No","Yes",4,5,"Legally married",20,65,50,45,13
"8498","Germany","Male","Yes","Yes",3.66666666666667,4,"NEVER married",20,70,28,45,17
"8499","Germany","Female","No","Yes",4,5,"Legally married",20,70,75,45,10
"8500","Germany","Female","No","Yes",4.33333333333333,5,"NEVER married",20,70,20,45,12
"8502","Germany","Female","No","Yes",4.33333333333333,4,"Divorced",20,60,37,40,15
"8503","Germany","Male","No","No",4,4,"Legally married",23,70,49,50,18
"8504","Germany","Male","No","No",4,4,"NEVER married",18,70,28,45,13
"8505","Germany","Female","Yes","Yes",4,4,"NEVER married",20,70,41,40,11
"8506","Germany","Male","Yes","Yes",4,4,"NEVER married",23,50,24,35,13
"8507","Germany","Male","Yes","Yes",3,2.5,"Divorced",22,55,43,40,14
"8508","Germany","Male","No","Yes",3,2,"Legally married",18,45,33,35,18
"8510","Germany","Female","No","Yes",4,5,"NEVER married",18,70,50,45,13
"8511","Germany","Male","No","No",4.33333333333333,5,"Divorced",18,60,32,25,10
"8512","Germany","Female","No","Yes",4,4.5,"Widowed",20,70,75,45,12
"8513","Germany","Male","No","Yes",2.66666666666667,2.5,"NEVER married",22,65,25,45,12
"8514","Germany","Female","No","Yes",4.33333333333333,2,"Legally married",20,75,65,40,15
"8515","Germany","Male","No","Yes",3.66666666666667,2,"Widowed",20,63,56,35,15
"8516","Germany","Male","Yes","Yes",4,4,"Legally married",18,70,54,40,4
"8518","Germany","Female","No","Yes",4.33333333333333,4,"Legally married",21,70,34,35,13
"8519","Germany","Female","No","Yes",3.66666666666667,3,"NEVER married",18,70,16,50,10
"8520","Germany","Male","No","Yes",4,4,"Legally married",20,70,55,50,12
"8522","Germany","Female","No","Yes",2.33333333333333,3,"Widowed",25,70,72,50,9
"8524","Germany","Male","No","Yes",4.66666666666667,3.5,"Divorced",17,85,48,33,14
"8526","Germany","Female","No","Yes",3.66666666666667,2.5,"NEVER married",23,70,45,55,13
"8529","Germany","Female","No","Yes",4,3.5,"NEVER married",18,80,49,50,16
"8530","Germany","Male","No","Yes",2.66666666666667,3,"Legally married",18,80,52,55,12
"8534","Germany","Female","No","Yes",4.33333333333333,3.5,"Divorced",25,70,61,25,8
"8536","Germany","Male","No","Yes",4,1.5,"Legally married",18,65,68,40,18
"8537","Germany","Male","Yes","Yes",3,4.5,"Legally married",20,80,74,40,11
"8538","Germany","Male","No","Yes",4,3,"Legally married",25,70,73,40,12
"8539","Germany","Male","No","Yes",3.33333333333333,3,"Legally married",16,70,72,30,15
"8541","Germany","Male","No","Yes",5,2.5,"Legally married",20,70,46,30,13
"8542","Germany","Female","Yes","Yes",4,3.5,"NEVER married",17,45,17,30,11
"8544","Germany","Female","No","Yes",4.66666666666667,4.5,"NEVER married",20,65,22,35,16
"8546","Germany","Male","No","Yes",2.33333333333333,2,"Legally married",22,69,37,48,13
"8547","Germany","Male","No","Yes",4.66666666666667,2.5,"Divorced",21,70,55,50,17
"8548","Germany","Male","No","No",3.33333333333333,2,"NEVER married",16,60,22,40,11
"8550","Germany","Male","No","Yes",3,2,"Legally married",18,50,67,30,12
"8551","Germany","Female","Yes","Yes",4.66666666666667,2.5,"Legally married",25,65,45,35,16
"8552","Germany","Male","No","Yes",4,2.5,"Legally married",18,70,53,45,17
"8553","Germany","Female","No","Yes",4.66666666666667,2.5,"Legally married",23,65,44,45,12
"8554","Germany","Male","No","Yes",4,5,"Legally married",16,80,74,50,15
"8555","Germany","Male","No","Yes",4,2,"Divorced",21,65,56,40,18
"8556","Germany","Female","No","Yes",4.66666666666667,2.5,"Legally married",21,65,49,45,12
"8557","Germany","Male","No","Yes",3,3,"Legally married",18,70,70,45,12
"8558","Germany","Female","No","Yes",4,5,"Legally married",18,70,33,40,16
"8559","Germany","Female","No","Yes",3.66666666666667,3.5,"Legally married",21,80,63,45,13
"8560","Germany","Female","No","Yes",4,2,"Legally married",23,70,67,55,10
"8561","Germany","Male","No","Yes",3.66666666666667,4,"Divorced",22,102,57,40,13
"8562","Germany","Female","Yes","Yes",4.66666666666667,5,"Legally married",18,80,66,40,11
"8563","Germany","Female","No","No",4,3,"Divorced",20,75,50,45,10
"8564","Germany","Male","No","Yes",2.66666666666667,3.5,"NEVER married",25,40,45,30,29
"8565","Germany","Female","No","Yes",4,3.5,"Widowed",16,80,69,55,13
"8566","Germany","Female","No","Yes",4,3,"Legally married",20,80,49,45,20
"8567","Germany","Female","No","Yes",5,3.5,"NEVER married",20,55,24,40,12
"8568","Germany","Male","No","Yes",4,4.5,"NEVER married",21,55,21,38,13
"8569","Germany","Female","No","Yes",4,4,"NEVER married",20,55,43,40,18
"8570","Germany","Female","No","Yes",2.33333333333333,4,"Legally married",20,70,64,40,12
"8571","Germany","Male","No","Yes",4.66666666666667,4,"NEVER married",26,65,34,40,16
"8572","Germany","Female","Yes","No",4.33333333333333,4,"Legally married",21,65,46,30,22
"8573","Germany","Male","No","Yes",4,4,"Widowed",18,70,81,30,11
"8574","Germany","Male","No","Yes",3,3,"NEVER married",20,60,38,35,15
"8575","Germany","Female","No","Yes",3.33333333333333,3,"Legally married",16,75,66,30,10
"8576","Germany","Female","No","Yes",5,3.5,"Legally married",21,70,35,40,13
"8577","Germany","Male","No","Yes",3,3,"NEVER married",17,50,20,35,13
"8578","Germany","Male","Yes","Yes",3.33333333333333,4,"Legally married",18,70,60,35,14
"8581","Germany","Female","No","Yes",4.66666666666667,3.5,"Legally married",20,70,56,45,15
"8583","Germany","Male","No","Yes",2.33333333333333,4.5,"NEVER married",30,70,52,55,12
"8584","Germany","Male","No","Yes",4.33333333333333,5,"Legally married",18,55,67,30,18
"8585","Germany","Male","Yes","Yes",3.66666666666667,4,"Legally married",21,60,57,40,16
"8587","Germany","Male","No","No",3,4.5,"Legally married",14,45,28,28,0
"8591","Germany","Female","No","Yes",3.66666666666667,2,"Legally married",20,60,83,40,8
"8592","Germany","Female","No","Yes",4,1,"NEVER married",18,80,21,40,13
"8593","Germany","Male","No","Yes",2.66666666666667,3.5,"Divorced",25,70,54,40,15
"8596","Germany","Male","No","Yes",4.66666666666667,3.5,"NEVER married",25,60,43,38,15
"8598","Germany","Female","No","Yes",5,2.5,"Legally married",18,65,41,40,9
"8599","Germany","Male","No","Yes",3.33333333333333,0,"Widowed",20,70,75,25,8
"8601","Germany","Female","No","Yes",4.33333333333333,4.5,"NEVER married",16,40,18,30,8
"8603","Germany","Male","No","Yes",3.33333333333333,0,"Legally married",22,60,70,25,8
"8605","Germany","Female","No","Yes",3,4.5,"Legally married",42,55,41,45,9
"8606","Germany","Male","No","Yes",3.33333333333333,4.5,"Legally married",20,70,26,40,12
"8612","Germany","Male","No","Yes",3,4,"Legally married",16,60,44,40,13
"8613","Germany","Male","No","Yes",4,4,"NEVER married",16,60,25,30,17
"8614","Germany","Male","No","Yes",3.33333333333333,4,"Legally married",18,65,65,40,11
"8615","Germany","Male","No","Yes",3.33333333333333,3,"NEVER married",18,60,18,35,11
"8618","Germany","Female","No","Yes",5,2,"Widowed",18,65,40,40,14
"8619","Germany","Male","No","Yes",4.66666666666667,3.5,"Legally married",18,65,61,45,17
"8620","Germany","Female","No","No",3.33333333333333,3,"NEVER married",16,60,81,35,5
"8621","Germany","Male","No","Yes",3.33333333333333,3,"Legally married",18,65,54,40,17
"8622","Germany","Female","No","Yes",3,3,"Widowed",17,70,96,40,11
"8623","Germany","Female","No","Yes",4,3,"Legally married",18,55,77,35,8
"8624","Germany","Female","No","Yes",3,2.5,"NEVER married",18,60,44,45,12
"8626","Germany","Female","No","Yes",4.66666666666667,3.5,"Legally married",25,65,29,45,13
"8628","Germany","Male","No","Yes",4,3,"Legally married",18,55,56,35,16
"8629","Germany","Female","No","Yes",3.66666666666667,3.5,"Legally married",19,50,27,30,15
"8630","Germany","Female","No","Yes",4,4,"Legally married",17,60,41,40,13
"8631","Germany","Male","No","Yes",3.66666666666667,2.5,"Divorced",22,65,48,40,11
"8632","Germany","Male","No","Yes",4,4,"NEVER married",16,65,63,40,10
"8633","Germany","Female","No","Yes",4.66666666666667,4,"NEVER married",18,65,56,40,12
"8634","Germany","Female","No","Yes",3.33333333333333,3.5,"Legally married",20,65,77,45,9
"8635","Germany","Male","No","Yes",4,3.5,"Legally married",20,50,64,40,13
"8636","Germany","Male","No","No",3,4.5,"Legally married",18,60,47,35,13
"8637","Germany","Female","No","Yes",4.66666666666667,4,"Legally married",19,75,41,35,13
"8638","Germany","Female","No","Yes",3,3,"Legally married",18,60,41,35,11
"8639","Germany","Female","No","No",3.66666666666667,3.5,"Widowed",30,75,51,50,10
"8640","Germany","Female","No","Yes",4,3,"Divorced",20,75,68,35,12
"8641","Germany","Female","No","Yes",3.66666666666667,3,"Legally married",18,70,44,50,11
"8642","Germany","Male","No","Yes",3,0.5,"Legally married",18,60,53,35,18
"8643","Germany","Male","No","Yes",3.66666666666667,2.5,"Legally married",16,65,42,28,13
"8644","Germany","Female","No","Yes",2,3.5,"Legally married",18,60,37,40,17
"8645","Germany","Female","No","Yes",2.66666666666667,2,"Widowed",25,70,95,55,8
"8646","Germany","Male","No","Yes",4,4,"Legally married",21,88,69,40,14
"8647","Germany","Male","Yes","Yes",3.33333333333333,3.5,"NEVER married",18,35,18,27,11
"8649","Germany","Male","No","Yes",3.66666666666667,3,"Legally married",20,75,56,40,16
"8650","Germany","Female","No","Yes",4.33333333333333,4,"Widowed",21,70,88,40,12
"8651","Germany","Male","No","No",4,4.5,"Legally married",20,80,54,40,17
"8652","Germany","Female","No","Yes",3.66666666666667,4,"NEVER married",25,65,18,40,11
"8653","Germany","Female","No","Yes",3.33333333333333,3,"Legally married",22,65,49,45,13
"8654","Germany","Male","No","Yes",4.66666666666667,5,"Widowed",24,60,70,35,12
"8655","Germany","Male","No","Yes",2,2.5,"Legally married",16,60,38,40,16
"8657","Germany","Male","No","Yes",4.33333333333333,3,"NEVER married",19,55,20,38,13
"8658","Germany","Female","No","Yes",3.33333333333333,3.5,"Legally married",18,80,67,40,10
"8660","Germany","Female","No","Yes",4.33333333333333,4.5,"Widowed",23,70,87,40,12
"8661","Germany","Female","No","Yes",4.66666666666667,4.5,"Legally married",25,70,55,40,18
"8662","Germany","Male","Yes","Yes",4.33333333333333,4.5,"Legally married",21,70,37,50,14
"8665","Germany","Female","No","Yes",4,4.5,"Legally married",18,70,63,30,13
"8666","Germany","Female","No","Yes",3.66666666666667,3.5,"Legally married",21,75,41,40,14
"8668","Germany","Male","Yes","Yes",3,4.5,"Legally married",18,65,48,45,13
"8669","Germany","Male","No","Yes",3.66666666666667,2,"NEVER married",20,75,25,35,13
"8670","Germany","Female","No","Yes",4,4,"Legally married",20,70,73,50,13
"8672","Germany","Male","Yes","Yes",2.33333333333333,2,"NEVER married",18,55,25,30,14
"8673","Germany","Male","No","Yes",1.33333333333333,2.5,"NEVER married",20,60,21,30,15
"8674","Germany","Male","No","Yes",3.33333333333333,4.5,"Legally married",22,80,37,45,20
"8675","Germany","Male","No","Yes",3.66666666666667,2,"NEVER married",17,50,37,35,20
"8678","Germany","Male","No","Yes",4,1.5,"Legally married",20,61,41,37,20
"8679","Germany","Male","No","No",2.66666666666667,3,"NEVER married",29,80,25,50,17
"8680","Germany","Female","Yes","Yes",3,4,"NEVER married",25,60,18,45,12
"8681","Germany","Male","No","Yes",2.33333333333333,2.5,"NEVER married",22,65,28,35,16
"8682","Germany","Male","Yes","Yes",4.66666666666667,4,"Legally married",17,59,33,39,17
"8683","Germany","Female","Yes","Yes",2.66666666666667,2.5,"NEVER married",17,52,26,30,16
"8684","Germany","Male","No","Yes",2,2.5,"NEVER married",18,75,35,50,17
"8686","Germany","Male","No","Yes",3.66666666666667,4,"Divorced",16,40,43,25,12
"8687","Germany","Male","No","Yes",4.33333333333333,5,"Legally married",18,60,59,35,11
"8688","Germany","Male","Yes","Yes",4,4,"Legally married",20,50,42,35,12
"8689","Germany","Female","No","Yes",3.66666666666667,4,"Legally married",18,70,58,45,12
"8690","Germany","Male","No","Yes",4.66666666666667,3.5,"Legally married",22,60,46,45,12
"8691","Germany","Female","No","Yes",4.33333333333333,4,"Legally married",30,70,39,50,20
"8692","Germany","Male","No","Yes",4,2.5,"Legally married",21,65,70,40,6
"8693","Germany","Male","No","Yes",5,3,"Legally married",20,65,40,40,13
"8695","Germany","Male","No","Yes",3.66666666666667,4,"Legally married",30,65,54,40,14
"8697","Germany","Female","No","Yes",5,3.5,"Legally married",20,70,40,45,13
"8698","Germany","Female","No","Yes",4.33333333333333,3,"Legally married",17,70,40,50,16
"8699","Germany","Female","No","Yes",3.66666666666667,4,"Legally married",18,70,39,35,13
"8700","Germany","Female","No","Yes",3.33333333333333,2,"Legally married",20,65,48,35,12
"8701","Germany","Female","Yes","Yes",4,4,"Legally married",25,75,57,45,15
"8702","Germany","Female","No","Yes",3,3,"Legally married",25,70,49,40,13
"8704","Germany","Male","No","Yes",3.33333333333333,3,"Legally married",17,75,43,50,19
"8705","Germany","Male","No","Yes",4,3,"NEVER married",20,55,44,36,12
"8706","Germany","Female","No","Yes",4,2.5,"Legally married",20,60,43,35,15
"8707","Germany","Female","Yes","No",3.66666666666667,3,"Legally married",25,70,45,45,12
"8708","Germany","Female","No","Yes",4.33333333333333,4,"Legally married",17,68,46,40,12
"8709","Germany","Male","No","No",3.66666666666667,5,"Legally married",25,80,27,50,14
"8711","Germany","Male","No","Yes",3.66666666666667,3,"Legally married",20,70,54,40,12
"8712","Germany","Female","No","Yes",4,5,"Legally married",18,70,57,35,11
"8713","Germany","Female","No","Yes",3.66666666666667,4.5,"Widowed",20,65,79,40,13
"8714","Germany","Male","No","Yes",3.66666666666667,5,"Widowed",30,65,77,45,8
"8715","Germany","Female","No","Yes",5,4,"Legally married",15,70,41,30,12
"8716","Germany","Male","No","Yes",3.66666666666667,4,"Legally married",18,65,42,35,10
"8717","Germany","Female","No","Yes",4,5,"Legally married",20,60,70,40,12
"8721","Germany","Female","No","Yes",3.66666666666667,5,"Legally married",18,65,77,35,8
"8724","Germany","Male","No","Yes",3.66666666666667,4,"Legally married",37,55,38,33,14
"8727","Germany","Female","No","Yes",4.66666666666667,3.5,"NEVER married",25,65,49,40,11
"8728","Germany","Male","No","Yes",1,4,"NEVER married",21,65,38,40,16
"8730","Germany","Male","No","Yes",3.66666666666667,1.5,"Divorced",22,50,28,35,14
"8731","Germany","Male","No","Yes",3,3.5,"Divorced",20,70,55,45,12
"8733","Germany","Male","No","Yes",4,1.5,"NEVER married",18,70,42,50,19
"8734","Germany","Male","No","Yes",4.33333333333333,4.5,"Divorced",18,69,50,40,16
"8737","Germany","Female","No","No",2,3,"Divorced",30,80,50,50,14
"8738","Germany","Female","No","Yes",4.66666666666667,5,"Legally married",20,75,48,50,14
"8739","Germany","Male","No","Yes",4.66666666666667,5,"Legally married",20,70,59,45,12
"8740","Germany","Female","Yes","Yes",2.66666666666667,3.5,"Legally married",17,78,38,40,16
"8742","Germany","Male","No","No",4.66666666666667,4,"Legally married",21,67,60,35,19
"8743","Germany","Male","No","No",4.33333333333333,3.5,"Legally married",26,80,79,42,12
"8745","Germany","Female","No","Yes",3.33333333333333,4,"Legally married",20,70,65,50,13
"8746","Germany","Male","No","Yes",4.33333333333333,1,"Legally married",20,60,51,35,16
"8747","Germany","Female","Yes","Yes",4.66666666666667,3,"Legally married",20,70,49,45,12
"8748","Germany","Female","No","Yes",3,4,"Widowed",21,70,76,40,8
"8750","Germany","Male","No","No",0.666666666666667,2,"Divorced",20,70,35,45,13
"8751","Germany","Male","No","Yes",3.66666666666667,2.5,"NEVER married",21,70,40,45,19
"8752","Germany","Female","No","Yes",3.33333333333333,3,"NEVER married",22,70,39,50,13
"8755","Germany","Male","No","No",2,1.5,"Divorced",20,60,31,40,13
"8756","Germany","Male","No","Yes",3,4,"NEVER married",23,70,28,50,14
"8757","Germany","Female","No","Yes",2,4,"Divorced",22,70,56,55,11
"8758","Germany","Female","No","Yes",3,4,"Legally married",20,70,57,50,8
"8759","Germany","Male","No","Yes",1.33333333333333,2,"NEVER married",18,50,16,35,13
"8760","Germany","Male","No","Yes",3,4,"Divorced",21,70,67,45,11
"8761","Germany","Female","No","Yes",3.33333333333333,5,"Divorced",20,60,47,40,15
"8762","Germany","Female","No","Yes",4.66666666666667,5,"Legally married",20,80,39,50,13
"8763","Germany","Female","No","Yes",4.66666666666667,4.5,"NEVER married",20,65,37,45,15
"8764","Germany","Female","No","Yes",4.33333333333333,4.5,"Legally married",18,75,56,40,14
"8765","Germany","Female","No","Yes",3.33333333333333,3.5,"Divorced",13,50,46,29,10
"8766","Germany","Male","Yes","Yes",4,4.5,"NEVER married",25,65,44,40,12
"8767","Germany","Female","No","Yes",2.66666666666667,4,"Widowed",18,69,85,35,8
"8768","Germany","Male","Yes","Yes",3.33333333333333,4,"NEVER married",16,65,48,35,20
"8770","Germany","Male","No","Yes",4,4.5,"Legally married",21,70,53,55,12
"8771","Germany","Male","No","Yes",2.66666666666667,3.5,"Divorced",18,60,48,40,13
"8773","Germany","Male","No","No",4.66666666666667,5,"Divorced",18,50,36,35,15
"8774","Germany","Female","No","Yes",2.66666666666667,3.5,"Legally married",18,65,38,35,10
"8775","Germany","Female","No","Yes",5,4,"Divorced",25,65,47,40,13
"8776","Germany","Male","No","No",2.66666666666667,4,"Legally married",18,65,55,45,11
"8777","Germany","Female","No","Yes",5,5,"NEVER married",20,65,67,45,16
"8778","Germany","Male","No","Yes",2.33333333333333,2.5,"NEVER married",20,55,15,40,9
"8780","Germany","Female","No","Yes",2.66666666666667,4,"Legally married",18,70,62,35,12
"8781","Germany","Male","No","Yes",3,3,"Legally married",21,60,53,40,10
"8784","Germany","Female","No","Yes",4.33333333333333,4,"Legally married",25,75,49,50,9
"8786","Germany","Male","No","Yes",3,3.5,"Legally married",21,65,39,40,10
"8790","Germany","Male","No","Yes",2.66666666666667,3,"Legally married",25,65,66,45,13
"8794","Germany","Male","No","Yes",2,3,"Legally married",18,65,29,40,12
"8795","Germany","Female","No","Yes",3.33333333333333,3.5,"NEVER married",20,70,27,45,11
"8801","Germany","Male","No","Yes",4,4,"Legally married",18,70,50,40,14
"8802","Germany","Male","No","Yes",4.33333333333333,4.5,"Legally married",18,75,59,35,13
"8803","Germany","Female","No","Yes",4,5,"Legally married",67,70,67,45,10
"8805","Germany","Female","No","Yes",4.33333333333333,4.5,"Legally married",18,70,38,45,16
"8809","Germany","Male","No","Yes",3,3.5,"Legally married",21,70,69,45,12
"8814","Germany","Female","No","Yes",4.66666666666667,5,"NEVER married",12,55,35,30,18
"8815","Germany","Female","No","No",4.33333333333333,5,"Legally married",18,60,43,40,9
"8817","Germany","Female","Yes","Yes",3.66666666666667,3.5,"Legally married",17,55,40,33,8
"8818","Germany","Female","No","Yes",4.33333333333333,3.5,"Divorced",17,60,40,30,15
"8819","Germany","Male","Yes","Yes",4,4.5,"NEVER married",18,50,29,35,13
"8820","Germany","Male","No","Yes",3,3,"Divorced",25,55,51,40,12
"8821","Germany","Female","No","Yes",4,4,"NEVER married",18,65,42,30,13
"8823","Germany","Male","No","Yes",2.66666666666667,3,"NEVER married",18,55,33,40,13
"8824","Germany","Female","No","Yes",4.66666666666667,5,"Legally married",23,75,52,60,12
"8825","Germany","Male","No","Yes",4,3,"Legally married",18,80,66,30,12
"8828","Germany","Male","No","Yes",3.66666666666667,4.5,"Legally married",18,60,54,40,12
"8829","Germany","Female","No","Yes",4.33333333333333,4,"Legally married",20,67,37,47,11
"8830","Germany","Female","No","Yes",4,3,"Legally married",16,65,35,40,15
"8831","Germany","Female","No","Yes",4,4,"Legally married",18,65,34,45,15
"8832","Germany","Male","No","Yes",2.66666666666667,4,"Legally married",21,50,29,35,13
"8833","Germany","Male","No","Yes",4.33333333333333,2,"Legally married",18,60,58,36,12
"8835","Germany","Female","No","Yes",4,3.5,"Widowed",20,60,75,45,8
"8837","Germany","Male","No","Yes",3.66666666666667,3.5,"Divorced",18,67,35,45,10
"8838","Germany","Male","No","Yes",3.33333333333333,3,"NEVER married",18,60,19,35,9
"8843","Germany","Female","No","Yes",3.66666666666667,4,"NEVER married",18,60,18,40,12
"8844","Germany","Female","No","Yes",3,3,"Legally married",21,60,42,39,9
"8846","Germany","Male","No","Yes",3.66666666666667,3.5,"Legally married",18,65,62,38,14
"8847","Germany","Male","No","Yes",3.66666666666667,3.5,"NEVER married",25,65,48,45,14
"8848","Germany","Male","No","Yes",5,5,"Legally married",14,70,41,35,14
"8849","Germany","Male","No","Yes",3,3.5,"NEVER married",17,65,17,30,11
"8850","Germany","Male","No","Yes",2.66666666666667,3,"NEVER married",18,50,17,35,11
"8853","Germany","Female","No","Yes",3.33333333333333,3.5,"NEVER married",16,70,25,40,12
"8854","Germany","Male","No","Yes",3.66666666666667,3.5,"Legally married",20,50,33,35,16
"8855","Germany","Female","No","No",4,4.5,"NEVER married",21,65,22,50,15
"8856","Germany","Male","Yes","Yes",4.66666666666667,5,"NEVER married",30,75,20,45,12
